tehsil,markaz,name,gender,level,category,lat,lng
KHUSHAB,JAUHARABAD SADAR (MALE),38210449 - GPS NO. 1 HADALI,Male,Primary,SED,32.2947,72.1849
KHUSHAB,JAUHARABAD SADAR (MALE),38210450 - GPS NO. 4 SARFRAZ COLONY JAUHARABAD,Male,Primary,SED,32.29311,72.251363
KHUSHAB,MITHA TIWANA SADAR (MALE),38210451 - GPS NO. 1 MITHA TIWANA,Male,Primary,SED,32.24226,72.110762
KHUSHAB,JAUHARABAD SADAR (MALE),38210452 - GPS NO. 3 HADALI,Male,Primary,SED,32.2968112,72.1973289
KHUSHAB,RODA NORTH (MALE),38210455 - GPS RAMZAN RODA,Male,Primary,PSRP-II,32.07462526,72.09608216
KHUSHAB,RODA SOUTH (MALE),38210456 - GPS RATTA WALA,Male,Primary,SED,32.031527,72.146407
KHUSHAB,MITHA TIWANA SADAR (MALE),38210457 - GPS SHALOLIAN WALA,Male,Primary,SED,32.19772,72.11654
KHUSHAB,RODA SOUTH (MALE),38210458 - GPS SHEIKH AHMAD,Male,Primary,SED,32.07368,72.024582
KHUSHAB,RODA SOUTH (MALE),38210459 - GPS SOHARAY WALA,Male,Primary,PSRP-II,32.072676,72.190296
KHUSHAB,JABBI SHARIF SOUTH (MALE),38210460 - GES SULTAN PUR ANGRA,Male,Middle,SED,32.3613358,72.3020671
KHUSHAB,MITHA TIWANA EAST (MALE),38210461 - GPS UMEED ALI VIRK,Male,Primary,SED,32.07338,72.18237
KHUSHAB,RODA NORTH (MALE),38210463 - GPS ZAMA KHAKH,Male,Primary,SED,32.11835831,72.12762192
KHUSHAB,MITHA TIWANA EAST (MALE),38210464 - GPS ZAMAN COLONY,Male,Primary,SED,32.25422,72.24783
KHUSHAB,JABBI SHARIF SOUTH (MALE),38210465 - GPS BASTI DARHAL,Male,Primary,SED,32.2957241,72.1473518
KHUSHAB,JABBI SHARIF NORTH (MALE),38210467 - GPS BUTTAY WALA,Male,Primary,PSRP-I,32.353881,72.164339
KHUSHAB,JABBI SHARIF NORTH (MALE),38210490 - GPS DARANWALA,Male,Primary,PSRP-I,32.365031,72.088454
KHUSHAB,JABBI SHARIF SOUTH (MALE),38210491 - GPS DERA KALWAL,Male,Primary,SED,32.3540207,72.1240262
KHUSHAB,MITHA TIWANA WEST (MALE),38210492 - GPS DERA SULEMAN BIJAR,Male,Primary,PSRP-I,32.28192,72.0619
KHUSHAB,JABBI SHARIF SOUTH (MALE),38210493 - GPS DERA TIWANA WALA,Male,Primary,PSRP-I,32.31437,72.060364
KHUSHAB,JABBI SHARIF SOUTH (MALE),38210494 - GPS DHOK MIR DEH,Male,Primary,PSRP-I,32.332145,72.115108
KHUSHAB,JABBI SHARIF SOUTH (MALE),38210495 - GPS DHOK CHOHAK,Male,Primary,PSRP-II,32.2957241,72.1473518
KHUSHAB,JABBI SHARIF SOUTH (MALE),38210496 - GPS FALAK SHER,Male,Primary,PSRP-I,32.301199,72.053298
KHUSHAB,JABBI SHARIF SOUTH (MALE),38210497 - GPS HEROO (ASP),Male,Primary,SED,32.2982454,72.1269883
KHUSHAB,JABBI SHARIF NORTH (MALE),38210498 - GPS JABBI GHARBI,Male,Primary,SED,32.389037,72.1026271
KHUSHAB,MITHA TIWANA WEST (MALE),38210502 - GPS KOTHI NAWAB,Male,Primary,SED,32.29591,72.05496
KHUSHAB,JABBI SHARIF NORTH (MALE),38210504 - GPS NANGAH,Male,Primary,PSRP-I,32.496508,72.056623
KHUSHAB,JABBI SHARIF NORTH (MALE),38210505 - GPS PERA KAMALIN WALA,Male,Primary,PSRP-I,32.468621,72.081051
KHUSHAB,JABBI SHARIF NORTH (MALE),38210509 - GPS SATRA KAWAD,Male,Primary,PSRP-II,32.45834,72.12901
KHUSHAB,MITHA TIWANA WEST (MALE),38210510 - GPS SHADADAN,Male,Primary,PSRP-I,32.145792,72.028155
KHUSHAB,MITHA TIWANA WEST (MALE),38210511 - GPS SHAIKHU,Male,Primary,SED,32.25555,72.00952
KHUSHAB,JABBI SHARIF SOUTH (MALE),38210513 - GPS TUNNIAN WALI,Male,Primary,SED,32.3042541,72.1258775
KHUSHAB,JABBI SHARIF SOUTH (MALE),38210514 - GPS UCHI SAYEDAN,Male,Primary,SED,32.304,72.076
KHUSHAB,JABBI SHARIF SOUTH (MALE),38210792 - GES BASTI SHER WALI,Male,Middle,SED,32.2957241,72.1473518
KHUSHAB,JAUHARABAD NORTH (MALE),38210793 - GES KUND,Male,Middle,SED,32.41134,72.207721
KHUSHAB,JAUHARABAD EAST (MALE),38210808 - GES CHAK NO. 59 MB,Male,Middle,SED,32.354078,72.343059
KHUSHAB,KHUSHAB SOUTH (MALE),38210809 - GES DERA ABDUL ALI SHAH MOHIB PUR,Male,Middle,SED,32.1318883,72.272093
KHUSHAB,JAUHARABAD SADAR (MALE),38210814 - GES NO. 3 JAUHARABAD,Male,Middle,SED,32.274838,72.272352
KHUSHAB,MITHA TIWANA EAST (MALE),38210815 - GES WATOO,Male,Middle,SED,32.02398,72.23282
KHUSHAB,KATHA SAGRAL WEST (MALE),38210829 - GES KATHA MISRAL,Male,Middle,SED,32.53067,72.42336
KHUSHAB,KATHA SAGRAL NORTH (MALE),38210830 - GES KURAR,Male,Middle,SED,32.477833,72.488952
KHUSHAB,KATHA SAGRAL SOUTH (MALE),38210831 - GES MANGWAL,Male,Middle,SED,32.538232,72.572379
KHUSHAB,MITHA TIWANA WEST (MALE),38210832 - GES BOTALA,Male,Middle,SED,32.2669,72.13664
